"","ID","Item","Answer","NotAns","Truth","NonNative","ForeignLang","Most","Determiner","Number","Yes","Acc.Fil","Acc.Mtn","NotAll","LowAcc","LowMtn"
"73","A1W8NQVJB92ZSO","Answer.Many.f01",FALSE,0,"f",0,1,1,"Many",1,0,91.7,100,0,0,0
"74","A1W8NQVJB92ZSO","Answer.Many.f02",TRUE,0,"f",0,1,1,"Many",2,1,91.7,100,0,0,0
"75","A1W8NQVJB92ZSO","Answer.Many.f03",TRUE,0,"f",0,1,1,"Many",3,1,91.7,100,0,0,0
"76","A1W8NQVJB92ZSO","Answer.Many.f04",FALSE,0,"f",0,1,1,"Many",4,0,91.7,100,0,0,0
"77","A1W8NQVJB92ZSO","Answer.Many.f05",FALSE,0,"f",0,1,1,"Many",5,0,91.7,100,0,0,0
"78","A1W8NQVJB92ZSO","Answer.Many.f06",TRUE,0,"f",0,1,1,"Many",6,1,91.7,100,0,0,0
"79","A1W8NQVJB92ZSO","Answer.Many.f07",FALSE,0,"f",0,1,1,"Many",7,0,91.7,100,0,0,0
"80","A1W8NQVJB92ZSO","Answer.Many.f08",TRUE,0,"f",0,1,1,"Many",8,1,91.7,100,0,0,0
"81","A1W8NQVJB92ZSO","Answer.Many.f09",FALSE,0,"f",0,1,1,"Many",9,0,91.7,100,0,0,0
"82","A1W8NQVJB92ZSO","Answer.Many.f10",TRUE,0,"f",0,1,1,"Many",10,1,91.7,100,0,0,0
"83","A1W8NQVJB92ZSO","Answer.Many.f11",FALSE,0,"f",0,1,1,"Many",11,0,91.7,100,0,0,0
"84","A1W8NQVJB92ZSO","Answer.Many.f12",FALSE,0,"f",0,1,1,"Many",12,0,91.7,100,0,0,0
"85","A1W8NQVJB92ZSO","Answer.Many.t01",TRUE,0,"t",0,1,1,"Many",1,1,91.7,100,0,0,0
"86","A1W8NQVJB92ZSO","Answer.Many.t02",TRUE,0,"t",0,1,1,"Many",2,1,91.7,100,0,0,0
"87","A1W8NQVJB92ZSO","Answer.Many.t03",TRUE,0,"t",0,1,1,"Many",3,1,91.7,100,0,0,0
"88","A1W8NQVJB92ZSO","Answer.Many.t04",TRUE,0,"t",0,1,1,"Many",4,1,91.7,100,0,0,0
"89","A1W8NQVJB92ZSO","Answer.Many.t05",TRUE,0,"t",0,1,1,"Many",5,1,91.7,100,0,0,0
"90","A1W8NQVJB92ZSO","Answer.Many.t06",TRUE,0,"t",0,1,1,"Many",6,1,91.7,100,0,0,0
"91","A1W8NQVJB92ZSO","Answer.Many.t07",TRUE,0,"t",0,1,1,"Many",7,1,91.7,100,0,0,0
"92","A1W8NQVJB92ZSO","Answer.Many.t08",TRUE,0,"t",0,1,1,"Many",8,1,91.7,100,0,0,0
"93","A1W8NQVJB92ZSO","Answer.Many.t09",TRUE,0,"t",0,1,1,"Many",9,1,91.7,100,0,0,0
"94","A1W8NQVJB92ZSO","Answer.Many.t10",TRUE,0,"t",0,1,1,"Many",10,1,91.7,100,0,0,0
"95","A1W8NQVJB92ZSO","Answer.Many.t11",TRUE,0,"t",0,1,1,"Many",11,1,91.7,100,0,0,0
"96","A1W8NQVJB92ZSO","Answer.Many.t12",TRUE,0,"t",0,1,1,"Many",12,1,91.7,100,0,0,0
"97","A1W8NQVJB92ZSO","Answer.Mtn.f01",FALSE,0,"f",0,1,1,"Mtn",1,0,91.7,100,0,0,0
"98","A1W8NQVJB92ZSO","Answer.Mtn.f02",FALSE,0,"f",0,1,1,"Mtn",2,0,91.7,100,0,0,0
"99","A1W8NQVJB92ZSO","Answer.Mtn.f03",FALSE,0,"f",0,1,1,"Mtn",3,0,91.7,100,0,0,0
"100","A1W8NQVJB92ZSO","Answer.Mtn.f04",FALSE,0,"f",0,1,1,"Mtn",4,0,91.7,100,0,0,0
"101","A1W8NQVJB92ZSO","Answer.Mtn.f05",FALSE,0,"f",0,1,1,"Mtn",5,0,91.7,100,0,0,0
"102","A1W8NQVJB92ZSO","Answer.Mtn.f06",FALSE,0,"f",0,1,1,"Mtn",6,0,91.7,100,0,0,0
"103","A1W8NQVJB92ZSO","Answer.Mtn.f07",FALSE,0,"f",0,1,1,"Mtn",7,0,91.7,100,0,0,0
"104","A1W8NQVJB92ZSO","Answer.Mtn.f08",FALSE,0,"f",0,1,1,"Mtn",8,0,91.7,100,0,0,0
"105","A1W8NQVJB92ZSO","Answer.Mtn.f09",FALSE,0,"f",0,1,1,"Mtn",9,0,91.7,100,0,0,0
"106","A1W8NQVJB92ZSO","Answer.Mtn.f10",FALSE,0,"f",0,1,1,"Mtn",10,0,91.7,100,0,0,0
"107","A1W8NQVJB92ZSO","Answer.Mtn.f11",FALSE,0,"f",0,1,1,"Mtn",11,0,91.7,100,0,0,0
"108","A1W8NQVJB92ZSO","Answer.Mtn.f12",FALSE,0,"f",0,1,1,"Mtn",12,0,91.7,100,0,0,0
